Име,Категория,Подкатегория,Време за приготвяне,Източник
запържени лимонови скариди на тиган,риба,скариди,0:15,http://www.1001recepti.com/recipe/?recipe_id=2026-limonovi-skaridi-na-tigan
постни пълнени чушки с боб,постни,боб,1,http://www.1001recepti.com/recipe/?recipe_id=1893-pulneni-susheni-chushki-s-bob
пилешка кавърма с гъби,готвени,гювеч,0:50,http://www.1001recepti.com/recipe/?recipe_id=812-pileshka-kavurma-v-guveche
салата айсберг с чери домати,салати,айсберг,0:15,http://www.1001recepti.com/recipe/?recipe_id=1118-salata-aisberg-s-cheri-domatki
пилешка супа,супи,пиле,0:45,http://www.1001recepti.com/recipe/?recipe_id=1719-pileshka-supa
ризото,готвени,ориз,0:45,http://www.1001recepti.com/recipe/?recipe_id=2798-rizoto-s-morkovi-pileshko-meso-i-gubi
панирани пилешки хапки,пържени,пиле,0:30,http://www.1001recepti.com/recipe/?recipe_id=976-panirani-pileshki-hapki
запеканка от тиквички с ориз,печени,ориз,1,http://www.1001recepti.com/recipe/?recipe_id=1445-zapekanka-ot-tikvichki-s-oriz
печено пиле с прясно зеле на фурна,готвени,пиле,1:20,http://www.1001recepti.com/recipe/?recipe_id=100150-pile-sus-zele-na-furna
баница,хлебни,брашно,1,http://www.1001recepti.com/recipe/?recipe_id=3194-banica-s-iaica-i-sirene-klasicheska-recepta
домашни гевреци,хлебни,брашно,1,http://www.1001recepti.com/recipe/?recipe_id=3344-domashni-gevreci-s-priasno-mliako-i-maia
обикновени пърленки,хлебни,брашно,1:20,http://www.1001recepti.com/recipe/?recipe_id=3261-obiknoveni-purlenki-ot-brashno-maia-i-voda
въздушни улични мекици,хлебни,брашно,0:45,http://www.1001recepti.com/recipe/?recipe_id=3132-vuzdushni-ulichni-mekici
домашен шоколадов чийзкейк,десерти,шоколад,0:40,http://www.1001recepti.com/recipe/?recipe_id=3103-domashen-shokoladov-chiizkeik
ябълков сладкиш с чаени бисквити,десерти,ябълки,0:25,http://www.1001recepti.com/recipe/?recipe_id=254-iabulkov-sladkish
печени ябълки с орехи и канела,десерти,ябълки,0:40,http://www.1001recepti.com/recipe/?recipe_id=2225-pecheni-iabulki-s-orehi-i-kanela
печен свински врат на фурна,печени,свинско,3,http://www.1001recepti.com/recipe/?recipe_id=3119-pechen-svinski-vrat-na-furna-s-podpravki-na-furna
картофени рьощи,печени,картофи,0:40,http://www.1001recepti.com/recipe/?recipe_id=3033-kartofeni-riooshti-lesni-kartofeni-kufteta-na-furna
