продукт,чаена чаша (200 мл),кафена чаша (100 мл),супена лъжица (15 мл),чаена лъжица (7 мл)
пшенично брашно,140 г,70 г,10 г,5 г
царевично брашно,130 г,65 г,10 г,5 г
суха мая,-,-,7 г,3 г
вода,200 г,100 г,15 г,7 г
сол,220 г,110 г,14 г,6 г
захар,200 г,100 г,15 г,8 г
пудра захар,190 г,95 г,14 г,7 г
нишесте,-,-,20 г,10 г
краве масло,210 г,105 г,17 г,8 г
олио,200 г,100 г,15 г,7 г
растително масло,180 г,90 г,14 г,7 г
разтопена мас,220 г,110 г,17 г,8 г
маргарин,240 г,120 г,18 г,9 г
прясно мляко,200 г,100 г,12 г,7 г
кисело мляко,240 г,120 г,20 г,10 г
оцет,200 г,100 г,15 г,8 г
грис,150 г,75 г,12 г,6 г
желатин,-,-,15 г,8 г
зрял фасул,150 г,75 г,12 г,5 г
какао,220 г,110 г,15 г,8 г
канела на прах,220 г,110 г,15 г,8 г
галета,140 г,60 г,12 г,6 г
леща,200 г,100 г,15 г,8 г
ликьор,-,-,20 г,7 г
мармалад,240 г,120 г,20 г,10 г
мед,300 г,150 г,25 г,13 г
ориз,220 г,85 г,30 г,10 г
смлени орехи,80 г,40 г,6 г,3 г
счукани орехи,120 г,60 г,11 г,6 г
квасена сметана ,210 г,105 г,21 г,12 г
течна сметана,200 г,100 г,12 г,6 г
стафиди,-,60 г,12 г,-
сухо мляко,100 г,50 г,6 г,3 г
зрял фасул,190 г,95 г,-,-
червен пипер,-,-,-,6 г
черен пипер,-,-,-,2 г
чубрица,-,-,-,1 г
